Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
06000104,86663,,3.8,4.4,,6,6.75,N1,5,5.25,
06000105,87827,,3.8,3.4,,2.5,6,N1,5.5,6.75,
06000103,86668,,7,3.8,,6.5,6,N1,5.25,6,
06000093,87044,,,,,5.5,5,,4.5,,
06000097,87041,,3,2.4,,2,4.25,N1,4.25,6.25,
06000098,87042,,3.6,2.2,,3.75,2.5,N1,4,4,
06000099,86660,,,,,8,8.75,,9.25,,
06000101,83095,,5.4,4.4,,5,7.25,N1,7.25,7.5,
06000100,86661,,3.2,,,3.25,5,,5,,
06000102,86662,,3.4,3.4,,2.75,3.5,N1,4,5.75,
06000106,86664,,5.6,3.4,,6,7.25,N1,7.75,7.75,
06000108,86665,,3,6,,4,4.75,N1,7.75,6.5,
06000110,87828,,6.6,,,3.5,8.5,,7.75,,
06000115,86666,,4.6,3.2,,4.25,6.25,N1,4.75,6,
06000113,82627,,3.4,,,5.25,4.75,,5,,
06000109,86669,,8.8,8.8,,6,8.75,N1,7.75,8.75,
06000112,86656,,6.8,6.4,,6,8,N1,6.25,8.75,
06000114,88289,,3.6,3.6,,3,6.25,N1,4.75,7.5,
06000111,86655,,2.2,2.8,,4.25,5.75,N1,6.25,6.25,
06000107,86654,,5.2,3.8,,4,7.25,N1,7,8.25,
06000116,83502,,4.6,3.2,,2.75,4,N1,6,6,
06000121,88372,,3.2,4,,4.5,7,N1,7.75,7.25,
06000123,83488,,4,,,6,5.75,,5,,
06000118,88371,,4.4,3.6,,3.5,7.25,N1,7.25,7.75,
06000119,86658,,3.2,3.6,,3.75,5,N1,4,6,
06000125,86671,,2.8,3,,3.25,7,N1,5,6,
06000124,86670,,6.8,4.6,,7.25,8.5,N1,6.75,8.5,
06000126,82628,,4,2.4,,4.75,6,N1,5.75,6,
06000127,82629,,4.4,2.6,,4.75,4.25,N1,5,6.5,
06000129,88373,,3.4,3.4,,3,5,N1,6.5,8.25,
06000130,86673,,3,3.2,,3.75,3.5,N1,4.25,5,
06000131,87572,,4.8,2.4,,5,4.75,N1,5,5.5,
06000133,82630,,5.4,4,,6,6.5,N1,6.25,9,
06000134,83519,,6.4,2.8,,6,7.5,N1,7.25,8,
06000122,86667,,4.6,5,,7.75,6.75,N1,8,8,
06000120,86659,,3.8,3.8,,5.25,7.5,N1,6,7.5,
06000117,86657,,,,,4.75,9.5,,9,,
06000139,82631,,3.4,3.4,,2.75,5.25,N1,3.25,4.75,
06000140,86680,,5,2.8,,3.25,5.75,N1,5.5,7.5,
06000141,87574,,3.8,4,,2.25,3.5,N1,5.5,7.25,
06000142,82632,3.5,6,3.2,7.75,5.25,,N1,,,7.75
06000128,86672,,4.2,2,,4.25,5.5,N1,4.75,6,
06000132,86674,,4,2.4,,4.5,5.75,N1,5,8.25,
06000144,86677,,,,,4.5,7.5,,6.5,,
06000145,87046,,6.2,3,,8.25,8.25,N1,7.25,7.75,
06000146,86678,,6.8,3.6,,8.25,6.75,N1,7,8.25,
06000147,86681,,3.2,2.4,,4,3.25,N1,4.5,3.5,
