Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
07000096,649867,6,8,5,4.5,5.75,,N1,,,7
07000095,649869,8.5,7.6,5.8,8.75,7.5,,N1,,,7
07000097,649852,7.75,8.4,4.8,8.5,5,,N1,,,4.75
07000099,650734,,,,,7,9.75,,9.25,,
07000100,646123,,5.2,3.4,,5.5,6.25,N1,6.25,7.75,
07000101,650735,,,,,2.25,7.5,,4.5,,
07000102,646124,,5.2,8.2,,7.5,5.75,N1,6.75,7.25,
07000103,651220,,8.4,9.2,,8.5,8,N1,6.5,9.25,
07000104,650736,,6.6,8.6,,8.5,7,N1,6.5,9.25,
07000107,651625,,5.6,4.6,,6,7.25,N1,4.75,7.25,
07000105,649870,4.5,7.6,5.6,8,7.25,,N1,,,8
07000109,649854,,5.8,5.4,,5.5,7.5,N1,6.75,7.5,
07000108,646117,,5.6,4,,6.25,8.25,N1,7.25,8.75,
07000106,649853,,6,3.8,,5.5,7,N1,6.5,8.5,
07000110,650737,,6.8,4.2,,4.5,7.75,N1,7.75,8.5,
07000111,649880,6.25,7.4,7.4,4.25,5,,N1,,,7.5
07000112,651626,,,,,6.25,7.5,,6.5,,
07000113,646125,6.5,7.4,4.8,8,4.75,,N1,,,7
07000114,649871,5.5,8.6,7.8,6.75,6.25,,N1,,,7.5
07000115,649855,6.25,7.2,4,7.5,5.75,,N1,,,7
07000119,649856,6,7.6,4,8.25,8,,N1,,,5.75
07000118,650738,,6.4,4.2,,9,9.25,N1,9,8.25,
07000117,646126,,,,,5.25,6,,6.75,,
07000116,649876,8,7.6,4.2,9,7,,N1,,,3.75
07000120,651221,7.5,8.6,4.4,6.5,6.75,,N1,,,4
07000121,651623,,5.8,2.8,,5.25,5.75,N1,8.5,6.5,
07000123,646137,,3.8,4.2,,9,9.75,N1,9.75,7.5,
07000122,650739,,,,,5.5,6.25,,6.75,,
07000124,649872,6.25,8.8,6.8,3.5,6,,N1,,,7.75
07000126,649877,7.25,7.8,7,6.25,7,,N1,,,8.25
07000128,651643,,5.6,2.4,,4.75,6.5,N1,6.25,6.5,
07000125,649857,,6.6,7,,8.25,7,N1,7.5,8.75,
07000127,649878,5.25,8,7.4,2.75,4.75,,N1,,,6.75
07000129,649873,6,7.2,7.2,8.75,4.25,,N1,,,7.25
07000130,651624,,,,,5.25,8.25,,8.5,,
07000131,649858,3.75,6.8,4.6,3.5,5.5,,N1,,,5.25
07000133,651642,,6.4,4.4,,8.25,9.5,N1,7.75,9,
07000132,649881,5.75,7.8,7.6,6.25,5.75,,N1,,,8
07000134,649859,7.25,8,8.4,8.75,5,,N1,,,6.75
07000135,646118,,6.6,4,,7,7.5,N1,9,8.75,
07000137,646119,5.25,7.8,3.6,7.25,4.5,,N1,,,7
07000138,651644,,3,2.8,,4.75,5.5,N1,5.25,6.75,
07000136,650768,,,,,6,5.5,,,7.75,
07000140,649860,,6.6,3.2,,7.5,8.5,N1,8.5,7.5,
07000139,651648,,4.6,3.6,,6.5,7.5,N1,7.75,7.25,
07000141,651645,,3.8,4.8,,5.5,7,N1,6.75,8,
07000143,649879,8.5,8.2,7.8,8,7.75,,N1,,,9
07000142,649874,4.5,8,7.2,3.75,6.25,,N1,,,8
07000144,651222,,4.2,4.4,,,,N1,,,4.5
07000146,649875,6.25,8,5,6.5,6,,N1,,,7.75
07000145,649861,6,7.8,5.4,3.5,6.25,,N1,,,7.75
07000147,649886,8.5,5.8,3.2,4.25,5.5,,N1,,,4.25
07000150,646127,6.25,6.6,7.2,4,5,,N1,,,6.5
07000149,649887,5.75,8.2,5,4,5.5,,N1,,,8
07000148,649862,,6,4,,7.25,7.25,N1,5.25,7,
07000151,646138,,6.8,4.4,,7,9.5,N1,8.5,8.5,
07000152,651649,,4.2,2.8,,5.75,5.75,N1,4.75,6.5,
