Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
54012669,554412,,8.4,9,,8.25,7.25,N1,8.5,9,
54012672,549400,,6.4,3.4,,7,4.75,N1,5.5,6.75,
54012673,549853,6.75,5.2,4.2,5.5,8.25,,N1,,,5.5
54012671,549852,6.25,7.8,7,6.5,8,,N1,,,7.5
54012675,553631,5,6.4,5.4,7.25,7,,N1,,,4.5
54012678,550468,,8.4,5.2,,7.5,8.5,N1,6.25,9,
54012677,556655,7.5,7.8,4.8,6.75,8,,N1,,,5.5
54012679,554086,,6.2,6.2,,7.5,8.5,N1,7.25,8,
54012650,553644,,7,,,8.5,7.5,,6.25,8.75,
54012680,556656,7,7.2,6.8,9,7,,N1,,,6.25
54012681,554413,,6.8,4.6,,7,6.75,N1,6.75,7.75,
54012682,556657,7.75,7.4,5.8,7.5,7.25,,N1,,,5
54012670,556653,,6,4.6,,8,7.25,N1,6.75,8.25,
54012683,549856,6,7,6,5.5,8,,N1,,,5.75
54012684,554415,,6,8.4,,9,7.5,N1,7.25,8,
54012674,556654,,6.4,5.2,,7.75,6.25,N1,9,7.75,
54012685,554062,,8,5.4,,7.75,9,N1,6.5,8,
54012688,554416,,6.4,4.2,,7.5,7.75,N1,7.5,8.25,
54012687,556658,,6.8,5,,8,7.25,N1,8,9.25,
54012686,554087,,5.4,5.8,,8,7.75,N1,7,8,
54012692,556660,6.5,6.6,5,5.75,8,,N1,,,8
54012690,553053,,3.2,,,5,7,,5.25,,
54012689,556659,,5.8,6,,6.25,6.5,N1,5.5,7.5,
54012691,549402,6.5,8.2,6.2,6.5,7.5,,N1,,,8
54012693,554063,8.25,8.4,7.4,6.75,8.75,,N1,,,7.5
54012694,554064,,5.6,5.8,,7.75,6.25,N1,5.25,8.25,
54012676,549401,,4.4,4.2,,7.75,7,N1,6.25,7.5,
54012695,556661,,6,4.8,,7.25,7.75,N1,8,9,
54012696,554065,,6,5.6,,7.25,6.5,N1,5,7,
54012697,554066,6,7.8,7,4.25,7,,N1,,,8.25
54012698,550842,,4.8,,,6.5,5.5,,5.25,,
54012699,556662,,6.2,5,,8.75,8,N1,7,8.75,
54012700,554067,,6.2,6.4,,7.75,7.25,N1,5.25,7.25,
54012701,554418,,4.6,3.4,,7.5,7.5,N1,4.75,7.5,
54012702,556663,7,7.8,7.4,6.5,7.75,,N1,,,8
54012703,552608,,7.6,5.6,,8.5,8.25,N1,8.75,9.75,
54012704,554068,,6,5,,7,7.75,N1,7,6.5,
54012707,554417,,6.4,6.4,,8,8.25,N1,8.75,9,
54012708,554419,,6.4,4.2,,7.5,7,N1,6.25,8,
54012706,554069,,8.2,5,,7.5,9,N1,7.5,9.25,
54012709,554844,,3.8,4,,7,8,N1,6,7.75,
54012714,554071,6,7.2,4.4,4,7,,N1,,,5.25
54012712,552516,4.75,8,5.6,5.75,8.75,,N1,,,5.25
54012711,554840,,6.6,4.6,,8,8.5,N1,6.75,8.5,
54012713,556665,,4.8,4.8,,8.75,8.25,N1,8.75,9.5,
54012715,555070,,4.6,4.8,,5.75,6.25,N1,5.25,7.25,
54012717,554841,,6.6,4.6,,8.75,7.25,N1,8,9,
54012716,549857,7.75,8.4,7,9,7.25,,N1,,,5.75
54012718,554842,,4.2,4,,7.25,6.25,N1,5.25,7,
54012719,554843,,5,5.4,,7.75,6.5,N1,7,7.25,
54012721,554072,,6.4,5.6,,8.25,8.25,N1,8.5,8.5,
54012705,556664,,5.8,4.6,,7.75,8.25,N1,8.25,8.5,
54012720,556666,,5.6,,,6.5,6.75,,5.75,,
54012723,552556,6,7.4,6.8,7,8,,N1,,,7.25
54012722,549403,,4.2,3.8,,7.25,7.25,N1,6,7,
54012725,549858,7.5,7.8,7.6,7,9.25,,N1,,,7.25
54012710,554070,,5.8,5.6,,7.5,7.25,N1,5.5,8.5,
54012724,556667,,7,6.8,,8.5,7.25,N1,5.5,8.25,
54012729,554845,,5.8,6.6,,9,6.5,N1,7,9,
54012730,555071,,6.6,7,,9,8.5,N1,6.25,8.5,
54012726,556668,,5.8,4.6,,8.25,6,N1,4,8.25,
54012727,554847,,6.4,5.6,,8.5,7,N1,6.25,8.25,
54012733,556670,6.25,7.6,7.2,3.75,8.5,,N1,,,5.75
54012731,556669,,7.6,5.2,,7.5,8.5,N1,8.25,7.75,
54012732,554848,,4.2,4.2,,6.5,6.25,N1,3.5,6,
54012736,554237,,6.2,3.6,,5.75,5,N1,4.25,7,
54012734,549859,6.5,6.6,7,5,8.5,,N1,,,6
54012735,554073,7.25,8.4,8.2,8.25,8.75,,N1,,,8.5
54012728,552557,,6.2,5.4,,8.25,6.75,N1,7.5,9.25,
54012741,556672,,4.8,5.4,,7.5,7,N1,6.5,8.5,
54012737,556671,8.25,9.2,9,6.5,8.25,,N1,,,8.5
54012742,554846,,5.6,4.6,,7.75,6.5,N1,5.25,7.5,
54012740,549404,,6.8,6.6,,8,7.75,N1,7.75,9.75,
54012745,554849,,5.8,4.8,,8.75,7.75,N1,8.25,7.25,
54012743,554075,,5.8,4.8,,7.25,6.25,N1,7.5,7,
54012739,554074,,5.4,4.2,,8,6.75,N1,4.75,8.25,
